cidade,ano,mês,tmax,tmin,tmed
Beja,2018,1,14.19,5.21,9.7
Castelo Branco,2018,1,13.78,4.42,9.1
Faro,2018,1,16.79,7.73,12.26
Funchal,2018,1,20.8,14.5,17.65
Lisboa,2018,1,16.01,8.99,12.5
Beja,2018,2,15.21,4.56,9.88
Castelo Branco,2018,2,14.03,3.95,8.99
Faro,2018,2,16.2,7.51,11.86
Funchal,2018,2,18.9,13.5,16.2
Lisboa,2018,2,15.77,8.45,12.11
Beja,2018,3,15.71,7.27,11.49
Castelo Branco,2018,3,14.27,5.98,10.13
Faro,2018,3,17.4,10.79,14.09
Funchal,2018,3,20.7,15.2,17.95
Lisboa,2018,3,16.55,9.85,13.2
Beja,2018,4,19.6,8.78,14.19
Castelo Branco,2018,4,18.42,8.72,13.57
Faro,2018,4,19.12,11.66,15.39
Funchal,2018,4,20.8,15.3,18.05
Lisboa,2018,4,19.76,11.54,15.65
Beja,2018,5,23.12,10.48,16.8
Castelo Branco,2018,5,22.98,10.65,16.81
Faro,2018,5,22.36,13.92,18.14
Funchal,2018,5,21.3,16.1,18.7
Lisboa,2018,5,22.89,13.82,18.35
Beja,2018,6,27.8,13.4,20.6
Castelo Branco,2018,6,27.62,14.97,21.3
Faro,2018,6,24.76,16.84,20.8
Funchal,2018,6,23.0,18.4,20.7
Lisboa,2018,6,25.37,16.61,20.99
Beja,2018,7,30.51,14.12,22.31
Castelo Branco,2018,7,30.53,15.25,22.89
Faro,2018,7,27.19,18.15,22.67
Funchal,2018,7,25.0,19.7,22.35
Lisboa,2018,7,26.79,18.05,22.42
Beja,2018,8,36.11,17.58,26.85
Castelo Branco,2018,8,36.05,20.22,28.13
Faro,2018,8,31.26,21.61,26.44
Funchal,2018,8,26.6,20.9,23.75
Lisboa,2018,8,32.13,19.91,26.02
Beja,2018,9,32.77,17.33,25.05
Castelo Branco,2018,9,32.46,18.51,25.49
Faro,2018,9,28.34,20.86,24.6
Funchal,2018,9,26.4,20.9,23.65
Lisboa,2018,9,30.15,19.57,24.86
Beja,2018,10,23.55,12.49,18.02
Castelo Branco,2018,10,22.55,12.12,17.34
Faro,2018,10,23.37,16.38,19.87
Funchal,2018,10,25.1,19.2,22.15
Lisboa,2018,10,23.8,15.58,19.69
Beja,2018,11,16.87,8.97,12.92
Castelo Branco,2018,11,15.16,7.74,11.45
Faro,2018,11,18.77,12.14,15.46
Funchal,2018,11,22.2,16.6,19.4
Lisboa,2018,11,18.11,11.56,14.84
Beja,2018,12,15.89,6.65,11.27
Castelo Branco,2018,12,13.89,5.62,9.75
Faro,2018,12,18.07,9.57,13.82
Funchal,2018,12,22.2,16.6,19.4
Lisboa,2018,12,16.83,9.9,13.37
Beja,2017,1,13.87,4.07,8.97
Castelo Branco,2017,1,12.51,3.07,7.79
Faro,2017,1,16.36,7.68,12.02
Funchal,2017,1,19.9,15.0,17.45
Lisboa,2017,1,16.0,7.47,11.74
Beja,2017,2,16.02,7.39,11.71
Castelo Branco,2017,2,15.18,6.27,10.72
Faro,2017,2,17.1,10.53,13.82
Funchal,2017,2,20.1,14.2,17.15
Lisboa,2017,2,16.7,10.08,13.39
Beja,2017,3,18.88,7.99,13.44
Castelo Branco,2017,3,17.74,6.99,12.36
Faro,2017,3,19.05,11.12,15.08
Funchal,2017,3,20.7,14.5,17.6
Lisboa,2017,3,18.83,10.75,14.79
Beja,2017,4,24.56,10.23,17.4
Castelo Branco,2017,4,23.17,10.28,16.72
Faro,2017,4,21.99,14.1,18.05
Funchal,2017,4,21.9,16.0,18.95
Lisboa,2017,4,23.75,13.59,18.67
Beja,2017,5,27.23,13.16,20.2
Castelo Branco,2017,5,25.4,13.42,19.41
Faro,2017,5,24.7,16.5,20.6
Funchal,2017,5,22.8,17.2,20.0
Lisboa,2017,5,24.89,15.49,20.19
Beja,2017,6,33.06,16.01,24.53
Castelo Branco,2017,6,32.59,16.89,24.74
Funchal,2017,6,24.4,19.3,21.85
Lisboa,2017,6,28.64,18.05,23.35
Beja,2017,7,34.81,15.59,25.2
Castelo Branco,2017,7,34.12,17.28,25.7
Faro,2017,7,30.2,20.27,25.24
Funchal,2017,7,25.7,20.0,22.85
Lisboa,2017,7,28.39,18.03,23.21
Beja,2017,8,34.63,16.18,25.4
Castelo Branco,2017,8,34.14,17.8,25.97
Faro,2017,8,29.99,20.79,25.39
Funchal,2017,8,26.7,21.0,23.85
Lisboa,2017,8,29.47,18.21,23.84
Beja,2017,9,30.83,13.57,22.2
Castelo Branco,2017,9,30.26,15.03,22.64
Faro,2017,9,27.36,18.17,22.77
Funchal,2017,9,26.7,20.5,23.6
Lisboa,2017,9,26.98,16.67,21.83
Beja,2017,10,29.11,15.55,22.33
Castelo Branco,2017,10,27.53,14.74,21.14
Faro,2017,10,26.15,18.1,22.13
Funchal,2017,10,26.8,20.5,23.65
Lisboa,2017,10,26.5,16.71,21.6
Beja,2017,11,20.28,9.43,14.85
Castelo Branco,2017,11,17.78,8.02,12.9
Faro,2017,11,20.97,13.0,16.99
Funchal,2017,11,23.6,18.8,21.2
Lisboa,2017,11,19.21,11.89,15.55
Beja,2017,12,15.11,5.65,10.38
Castelo Branco,2017,12,14.03,4.76,9.4
Faro,2017,12,17.2,8.74,12.97
Funchal,2017,12,20.9,16.0,18.45
Lisboa,2017,12,15.92,8.85,12.39
